Judul Ads,Grade Score - V3,Ad Spend,Impressions,3s View,50% View,Link Click,LP View,Conversions,Campaign Conversions,Revenue,Hook Quality,Content Quality,Clickability,LP Match Rate,RoAS CC,Ads Grade - V3,Hook Grade,Content Grade,Video Clickability Grade,LP Match Grade (REVISI),Offer Quality Grade,Reported V3
(BPR) KOL Expert - Maria Ana - M3P,11.3636363636%,"IDR 2,254,652.00","32,360","12,100","1,812","1,267",774,40,352,"IDR 598,000.00",37.39184178%,14.9752066116%,3.9153275649%,5.1679586563%,26.5229401256%,🟩🟩🟩 A,🟢 Good,🟡 Neutral,🔴🔴 Very Bad,🟡 Neutral,🟡 Neutral,Reported
RTS - Carousel + Video cust kaya - mGanik 3Peptide Mahal? - 3Peptide,11.2359550562%,"IDR 1,340,988.00","23,532",115,56,751,565,20,178,IDR 0.00,0.4886962434%,48.6956521739%,3.1913989461%,3.5398230088%,0%,🟩🟩🟩 A,🔴🔴 Very Bad,🟢🟢 Very Good,🔴🔴 Very Bad,🔴 Bad,🔴🔴 Very Bad,Reported
Talent - Tommy - mGanik 3Peptide Mahal - 3Peptide,11.2359550562%,"IDR 1,604,288.00","21,573","11,317",991,430,249,20,178,IDR 0.00,52.459092384%,8.7567376513%,1.9932322811%,8.0321285141%,0%,🟩🟩🟩 A,🟢🟢 Very Good,🔴 Bad,🔴🔴 Very Bad,🟢 Good,🔴🔴 Very Bad,Reported
FAQ - VID - Berapa Lama Bisa Sembuh? - M3P,10.1123595506%,"IDR 1,503,522.00","25,255","5,242",313,231,117,18,178,IDR 0.00,20.756285884%,5.9710034338%,0.9146703623%,15.3846153846%,0%,🟩🟩🟩 A,🔴 Bad,🔴🔴 Very Bad,🔴🔴 Very Bad,🟢🟢 Very Good,🔴🔴 Very Bad,Reported
KOL Caregiver - Satrio Ojon - Superfood,9.8765432099%,"IDR 2,562,880.00","59,425","24,759","4,557","1,250",544,16,162,"IDR 1,455,000.00",41.6642827093%,18.4054283291%,2.1034917964%,2.9411764706%,56.7720689225%,🟨🟨🟨 B,🟢🟢 Very Good,🟡 Neutral,🔴🔴 Very Bad,🔴 Bad,🟢 Good,Reported
25° - KOL User - Devi Ayu (@katalog_menudiet) - Superfood,9.8684210526%,"IDR 1,590,301.00","40,743","17,785","2,792",589,220,15,152,"IDR 237,000.00",43.6516702256%,15.6986224346%,1.445647105%,6.8181818182%,14.9028391481%,🟨🟨🟨 B,🟢🟢 Very Good,🟡 Neutral,🔴🔴 Very Bad,🟢 Good,🔴 Bad,Reported
COI - Carousel - 2 dari 3 orang hipertensi berisiko mengalami kerusakan organ - 3Peptide,9.5505617978%,"IDR 1,239,695.00","45,795",0,0,907,485,17,178,IDR 0.00,0%,,1.9805655639%,3.5051546392%,0%,🟨🟨🟨 B,⬜ No Data,🔴🔴 Very Bad,⬜ Insufficient Data,🟡 Neutral,🔴🔴 Very Bad,Reported
EoA - Dewi Yull (15 detik) mGanik Udah tersedia di dekat rumah bapak & Ibu - 3Peptide,9.2307692308%,"IDR 374,349.00","9,090","3,085","1,893",198,112,18,195,IDR 0.00,33.9383938394%,61.3614262561%,2.1782178218%,16.0714285714%,0%,🟨🟨🟨 B,🟡 Neutral,🟢🟢 Very Good,🔴🔴 Very Bad,🟢🟢 Very Good,⬜ Insufficient Data,Reported
PUFI - Short Script 1 - Dewi Yull (Master Vid) - Talking head + Broll - 3Peptide,9.2233009709%,"IDR 1,229,447.00","24,471","4,490","1,940",243,144,19,206,IDR 0.00,18.3482489477%,43.2071269488%,0.9930121368%,13.1944444444%,0%,🟨🟨🟨 B,🔴 Bad,🟢🟢 Very Good,🔴🔴 Very Bad,🟢🟢 Very Good,🔴🔴 Very Bad,Reported
EP - Video + VO AI - Fungsi Salmon Ovary untuk Tensi Tinggi - 3Peptide,9.0909090909%,"IDR 2,600,894.00","25,653","10,038","1,343",584,346,32,352,IDR 0.00,39.1299263244%,13.3791591951%,2.2765368573%,9.2485549133%,0%,🟨🟨🟨 B,🟢 Good,🟡 Neutral,🔴🔴 Very Bad,🟢🟢 Very Good,🔴🔴 Very Bad,Reported
Talent - Jessica & Tommy - CGM Seafood Tendaan,8.875739645%,"IDR 4,229,015.00","113,876","45,699","9,268","2,798","1,393",30,338,IDR 0.00,40.1304928167%,20.2805313027%,2.4570585549%,2.1536252692%,0%,🟨🟨🟨 B,🟢🟢 Very Good,🟡 Neutral,🔴🔴 Very Bad,🔴 Bad,🔴🔴 Very Bad,Reported
Customer - Yan Pramana - Nyeri Punggung & Dada Kiri - 3Peptide,8.7378640777%,"IDR 1,905,179.00","62,257","16,954","1,440",566,288,18,206,"IDR 700,000.00",27.2322791011%,8.4935708387%,0.9091347158%,6.25%,36.7419544305%,🟨🟨🟨 B,🟡 Neutral,🔴 Bad,🔴🔴 Very Bad,🟢 Good,🟡 Neutral,Reported
25°-KOL User - Animasi Dolewak - Superfood,8.5526315789%,"IDR 1,357,756.00","44,718","16,318","3,484",595,260,13,152,"IDR 700,000.00",36.4908985196%,21.3506557176%,1.3305604007%,5%,51.5556550662%,🟨🟨🟨 B,🟢 Good,🟡 Neutral,🔴🔴 Very Bad,🟡 Neutral,🟢 Good,Reported
Mirror IG - Launching mGanik Superfood 250 Gram - Superfood,7.9545454545%,"IDR 969,278.00","11,882","1,914","1,128",153,98,7,88,"IDR 158,000.00",16.1083992594%,58.934169279%,1.2876620098%,7.1428571429%,16.3007929614%,🟨🟨🟨 B,🔴 Bad,🟢🟢 Very Good,🔴🔴 Very Bad,🟢 Good,🔴 Bad,Reported
Kompilasi - Customer - Gula Darah Turun - Metafiber,6.8736141907%,"IDR 3,500,388.00","65,212","24,960","1,070","1,108",511,31,451,"IDR 756,000.00",38.2751640802%,4.2868589744%,1.6990737901%,6.0665362035%,21.5976057511%,🟨🟨🟨 B,🟢 Good,🔴🔴 Very Bad,🔴🔴 Very Bad,🟢 Good,🔴 Bad,Reported
RTS - VID - Dari Diabetesi Untuk Diabetesi yang Masih Ragu - Superfood,6.8181818182%,"IDR 258,984.00","4,543","1,771",208,77,40,6,88,IDR 0.00,38.9830508475%,11.7447769622%,1.6949152542%,15%,0%,🟨🟨🟨 B,🟢 Good,🔴 Bad,🔴🔴 Very Bad,⬜ Insufficient Data,⬜ Insufficient Data,Reported
No Talent - 3x Lebih Efektif Turunkan Hipertensi - 3Peptide,6.8181818182%,"IDR 2,592,797.00","49,749",0,0,512,275,24,352,"IDR 700,000.00",0%,,1.0291664154%,8.7272727273%,26.9978714107%,🟨🟨🟨 B,⬜ No Data,🔴🔴 Very Bad,⬜ Insufficient Data,🟢🟢 Very Good,🔴 Bad,Reported
